Name,Manufacturer (ID or Name),Category (ID or Name),Unit (ID or Name),Sell Price,Quantity,Dosage
Aspirin,Bayer,Pain Relief,Tablet,5.99,0,500mg
Ibuprofen,Advil,Pain Relief,Tablet,7.5,0,200mg
Paracetamol,Tylenol,Pain Relief,Tablet,4.25,0,500mg
Amoxicillin,GlaxoSmithKline,Antibiotic,Capsule,12,0,250mg
Ciprofloxacin,Pfizer,Antibiotic,Tablet,15.75,0,500mg
Metformin,Bristol-Myers Squibb,Diabetes,Tablet,9.2,0,500mg
Insulin,Novo Nordisk,Diabetes,Vial,25,0,100 units/ml
Lisinopril,Merck,Blood Pressure,Tablet,8.1,0,10mg
Amlodipine,Novartis,Blood Pressure,Tablet,6.8,0,5mg
Simvastatin,Zocor,Cholesterol,Tablet,10.5,0,20mg
Atorvastatin,Lipitor,Cholesterol,Tablet,11.2,0,10mg
Omeprazole,Prilosec,Antacid,Capsule,6.5,0,20mg
Ranitidine,Zantac,Antacid,Tablet,5.1,0,150mg
Loratadine,Claritin,Antihistamine,Tablet,7,0,10mg
Cetirizine,Zyrtec,Antihistamine,Tablet,6.2,0,10mg
Prednisone,Deltasone,Corticosteroid,Tablet,9.8,0,5mg
Dexamethasone,Decadron,Corticosteroid,Tablet,8.9,0,0.5mg
Albuterol,Ventolin,Asthma,Inhaler,18,0,90mcg/puff
Salbutamol,ProAir,Asthma,Inhaler,17.5,0,100mcg/puff
Fluoxetine,Prozac,Antidepressant,Capsule,14,0,20mg
Sertraline,Zoloft,Antidepressant,Tablet,13.5,0,50mg
Diazepam,Valium,Anxiety,Tablet,7.8,0,5mg
Alprazolam,Xanax,Anxiety,Tablet,8.5,0,0.5mg
Warfarin,Coumadin,Anticoagulant,Tablet,11,0,5mg
Clopidogrel,Plavix,Anticoagulant,Tablet,16.2,0,75mg
Levothyroxine,Synthroid,Thyroid,Tablet,9,0,50mcg
Furosemide,Lasix,Diuretic,Tablet,6,0,20mg
Hydrochlorothiazide,Esidrix,Diuretic,Tablet,5.5,0,25mg
Gabapentin,Neurontin,Anticonvulsant,Capsule,10,0,300mg
Pregabalin,Lyrica,Anticonvulsant,Capsule,12.5,0,75mg
Tramadol,Ultram,Pain Relief,Tablet,9.5,0,50mg
Codeine,Tylenol with Codeine,Pain Relief,Tablet,8,0,30mg
Doxycycline,Vibramycin,Antibiotic,Capsule,13,0,100mg
Azithromycin,Zithromax,Antibiotic,Tablet,14.5,0,250mg
Montelukast,Singulair,Asthma,Tablet,10.8,0,10mg
Diphenhydramine,Benadryl,Antihistamine,Tablet,4.8,0,25mg
Metronidazole,Flagyl,Antibiotic,Tablet,11.5,0,500mg
Cefalexin,Keflex,Antibiotic,Capsule,10.2,0,250mg
Naproxen,Aleve,Pain Relief,Tablet,6.7,0,220mg
Diclofenac,Voltaren,Pain Relief,Tablet,7.2,0,50mg
Meloxicam,Mobic,Pain Relief,Tablet,8.4,0,7.5mg
Prednisolone,Orapred,Corticosteroid,Solution,9.9,0,15mg/5ml
Hydrocortisone,Cortef,Corticosteroid,Cream,7,0,1%
Miconazole,Monistat,Antifungal,Cream,6.3,0,2%
Clotrimazole,Lotrimin,Antifungal,Cream,5.8,0,1%
Terbinafine,Lamisil,Antifungal,Cream,7.6,0,1%
Acyclovir,Zovirax,Antiviral,Tablet,15,0,200mg
Valacyclovir,Valtrex,Antiviral,Tablet,17,0,500mg
Oseltamivir,Tamiflu,Antiviral,Capsule,20,0,75mg
Zolpidem,Ambien,Insomnia,Tablet,11.8,0,10mg
